,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,2 years,2 years_lower,2 years_upper,Monthly,Monthly_lower,Monthly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1986-01-15,23.457652578049174,5.991803878574273,35.828330656463834,23.457652578049174,23.457652578049174,0.6878068875498204,0.6878068875498204,0.6878068875498204,-2.380720212470786,-2.380720212470786,-2.380720212470786,-2.071062110330443,-2.071062110330443,-2.071062110330443,-0.3781487854094776,-0.3781487854094776,-0.3781487854094776,0.0,0.0,0.0,21.386590467718733
1,1986-02-15,23.558845416871407,7.360938012860789,37.615711800135735,23.558845416871407,23.558845416871407,0.4871249702459339,0.4871249702459339,0.4871249702459339,-0.8184803708247778,-0.8184803708247778,-0.8184803708247778,-0.6249738084497243,-0.6249738084497243,-0.6249738084497243,-0.2936184078708804,-0.2936184078708804,-0.2936184078708804,0.0,0.0,0.0,22.933871608421683
2,1986-03-15,23.650245400323744,1.0968147518924425,32.72494683785819,23.650245400323744,23.650245400323744,0.8021480507354556,0.8021480507354556,0.8021480507354556,-8.272357297022445,-8.272357297022445,-8.272357297022445,-6.51205270708307,-6.51205270708307,-6.51205270708307,0.9581565392039205,0.9581565392039205,0.9581565392039205,0.0,0.0,0.0,17.138192693240676
3,1986-04-15,23.751438239145976,4.49185673762335,34.47159387901527,23.751438239145976,23.751438239145976,1.7204091157628023,1.7204091157628023,1.7204091157628023,-7.235841001198725,-7.235841001198725,-7.235841001198725,-4.180358593901984,-4.180358593901984,-4.180358593901984,1.335073291533939,1.335073291533939,1.335073291533939,0.0,0.0,0.0,19.57107964524399
4,1986-05-15,23.84936679284491,4.034318553998467,34.19855383310047,23.84936679284491,23.84936679284491,2.807256937781797,2.807256937781797,2.807256937781797,-8.272357297022788,-8.272357297022788,-8.272357297022788,-4.775969893627152,-4.775969893627152,-4.775969893627152,0.6891304656138404,0.6891304656138404,0.6891304656138404,0.0,0.0,0.0,19.07339689921776
5,1986-06-15,23.950559631667144,6.144975922428338,35.09725195144159,23.950559631667144,23.950559631667144,3.6596907652629374,3.6596907652629374,3.6596907652629374,-7.235841001201293,-7.235841001201293,-7.235841001201293,-3.384517033099538,-3.384517033099538,-3.384517033099538,0.19163320283881685,0.19163320283881685,0.19163320283881685,0.0,0.0,0.0,20.566042598567606
6,1986-07-15,24.048488185366075,4.169158269628206,36.165483995007385,24.048488185366075,24.048488185366075,3.980806471190084,3.980806471190084,3.980806471190084,-8.272357297022774,-8.272357297022774,-8.272357297022774,-3.7712536599417965,-3.7712536599417965,-3.7712536599417965,0.5202971658908941,0.5202971658908941,0.5202971658908941,0.0,0.0,0.0,20.27723452542428
7,1986-08-15,24.14968102418831,6.547604557734655,35.99482902391175,24.14968102418831,24.14968102418831,3.773052476308763,3.773052476308763,3.773052476308763,-7.235841001201814,-7.235841001201814,-7.235841001201814,-3.239838033100695,-3.239838033100695,-3.239838033100695,0.2229504917923567,0.2229504917923567,0.2229504917923567,0.0,0.0,0.0,20.909842991087615
8,1986-09-15,24.25087386301054,5.852953414841667,38.14946730849741,24.25087386301054,24.25087386301054,3.0311452933552667,3.0311452933552667,3.0311452933552667,-5.809999798324511,-5.809999798324511,-5.809999798324511,-2.644229331222314,-2.644229331222314,-2.644229331222314,0.1346251737469292,0.1346251737469292,0.1346251737469292,0.0,0.0,0.0,21.606644531788227
9,1986-10-15,24.34880241670947,3.494811289832572,33.43641931299513,24.34880241670947,24.34880241670947,1.747759887284225,1.747759887284225,1.747759887284225,-7.235841001197092,-7.235841001197092,-7.235841001197092,-5.877863097428119,-5.877863097428119,-5.877863097428119,-0.3897819835152529,-0.3897819835152529,-0.3897819835152529,0.0,0.0,0.0,18.470939319281353
