,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,2 years,2 years_lower,2 years_upper,Monthly,Monthly_lower,Monthly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1987-05-15,21.708134715982702,-2.4304180552770758,29.825645457044697,21.708134715982702,21.708134715982702,-1.5556087145180464,-1.5556087145180464,-1.5556087145180464,-7.582683241431242,-7.582683241431242,-7.582683241431242,-8.395674738508566,-8.395674738508566,-8.395674738508566,0.7426172174407244,0.7426172174407244,0.7426172174407244,0.0,0.0,0.0,13.312459977474136
1,1987-06-15,21.841164180198337,-2.2985379441078293,29.54056666541935,21.841164180198337,21.841164180198337,-1.5092759982620114,-1.5092759982620114,-1.5092759982620114,-6.6145067692020225,-6.6145067692020225,-6.6145067692020225,-7.989716046090482,-7.989716046090482,-7.989716046090482,0.13406672137355272,0.13406672137355272,0.13406672137355272,0.0,0.0,0.0,13.851448134107855
2,1987-07-15,21.969902371374758,-3.635970859765897,29.943131110960937,21.969902371374758,21.969902371374758,-1.6687274065095477,-1.6687274065095477,-1.6687274065095477,-7.582683241434603,-7.582683241434603,-7.582683241434603,-8.527051771470278,-8.527051771470278,-8.527051771470278,0.7243588764738734,0.7243588764738734,0.7243588764738734,0.0,0.0,0.0,13.44285059990448
3,1987-08-15,22.102931835590393,-2.2126399031951194,31.97378809973601,22.102931835590393,22.102931835590393,-1.5292039447141623,-1.5292039447141623,-1.5292039447141623,-6.614506769198618,-6.614506769198618,-6.614506769198618,-7.5692072916217175,-7.5692072916217175,-7.5692072916217175,0.5745034222910648,0.5745034222910648,0.5745034222910648,0.0,0.0,0.0,14.533724543968676
4,1987-09-15,22.23596129980603,-0.4022508249353203,33.26333621545778,22.23596129980603,22.23596129980603,-0.8869640108411359,-0.8869640108411359,-0.8869640108411359,-4.962909716252697,-4.962909716252697,-4.962909716252697,-5.343385459703495,-5.343385459703495,-5.343385459703495,0.5064882673903359,0.5064882673903359,0.5064882673903359,0.0,0.0,0.0,16.892575840102534
5,1987-10-15,22.36469949098245,-1.1235616803786903,31.263138217196673,22.36469949098245,22.36469949098245,-0.058772583097510954,-0.058772583097510954,-0.058772583097510954,-6.614506769199162,-6.614506769199162,-6.614506769199162,-6.630669444606389,-6.630669444606389,-6.630669444606389,0.042609907690283055,0.042609907690283055,0.042609907690283055,0.0,0.0,0.0,15.73403004637606
6,1987-11-15,22.497728955198085,0.5990273740311212,34.356565890874194,22.497728955198085,22.497728955198085,0.5473935669164133,0.5473935669164133,0.5473935669164133,-4.9629097162490305,-4.9629097162490305,-4.9629097162490305,-5.428921975877269,-5.428921975877269,-5.428921975877269,-1.0134058265446535,-1.0134058265446535,-1.0134058265446535,0.0,0.0,0.0,17.068806979320815
7,1987-12-15,22.626467146374505,-1.4958994929841336,32.15245378035575,22.6264671463745,22.6264671463745,0.6915401001922794,0.6915401001922794,0.6915401001922794,-6.614506769199709,-6.614506769199709,-6.614506769199709,-7.287136009647422,-7.287136009647422,-7.287136009647422,-1.3641693406399926,-1.3641693406399926,-1.3641693406399926,0.0,0.0,0.0,15.339331136727083
8,1988-01-15,22.75949661059014,1.615772965545985,34.17125150828179,22.75949661059014,22.75949661059014,0.6002464258864124,0.6002464258864124,0.6002464258864124,-4.962909716252209,-4.962909716252209,-4.962909716252209,-5.390298824668423,-5.390298824668423,-5.390298824668423,-1.0276355343026256,-1.0276355343026256,-1.0276355343026256,0.0,0.0,0.0,17.369197785921717
9,1988-02-15,22.892526074805776,4.415106140409154,37.6214581131555,22.892526074805776,22.892526074805776,0.6962093457090877,0.6962093457090877,0.6962093457090877,-2.644816095377862,-2.644816095377862,-2.644816095377862,-2.560319778675876,-2.560319778675876,-2.560319778675876,-0.6117130290071011,-0.6117130290071011,-0.6117130290071011,0.0,0.0,0.0,20.3322062961299
