,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,2 years,2 years_lower,2 years_upper,Monthly,Monthly_lower,Monthly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,yhat
0,1987-05-15,21.708134715982702,21.708134715982702,21.708134715982702,-3.2654624458491073,29.996564751007206,-1.5556087145180464,-1.5556087145180464,-1.5556087145180464,-7.582683241431242,-7.582683241431242,-7.582683241431242,-8.395674738508566,-8.395674738508566,-8.395674738508566,0.0,0.0,0.0,0.7426172174407244,0.7426172174407244,0.7426172174407244,13.312459977474136
1,1987-06-15,21.841164180198337,21.841164180198337,21.841164180198337,-2.8816242763419764,29.96611186062886,-1.5092759982620114,-1.5092759982620114,-1.5092759982620114,-6.6145067692020225,-6.6145067692020225,-6.6145067692020225,-7.989716046090482,-7.989716046090482,-7.989716046090482,0.0,0.0,0.0,0.13406672137355272,0.13406672137355272,0.13406672137355272,13.851448134107855
2,1987-07-15,21.969902371374758,21.969902371374758,21.969902371374758,-3.3401410295104643,28.974883908494945,-1.6687274065095477,-1.6687274065095477,-1.6687274065095477,-7.582683241434603,-7.582683241434603,-7.582683241434603,-8.527051771470278,-8.527051771470278,-8.527051771470278,0.0,0.0,0.0,0.7243588764738734,0.7243588764738734,0.7243588764738734,13.44285059990448
3,1987-08-15,22.102931835590393,22.102931835590393,22.102931835590393,-2.4111553413280458,31.078589934324512,-1.5292039447141623,-1.5292039447141623,-1.5292039447141623,-6.614506769198618,-6.614506769198618,-6.614506769198618,-7.5692072916217175,-7.5692072916217175,-7.5692072916217175,0.0,0.0,0.0,0.5745034222910648,0.5745034222910648,0.5745034222910648,14.533724543968676
4,1987-09-15,22.23596129980603,22.23596129980603,22.23596129980603,-0.15356616411975013,33.42063937694044,-0.8869640108411359,-0.8869640108411359,-0.8869640108411359,-4.962909716252697,-4.962909716252697,-4.962909716252697,-5.343385459703495,-5.343385459703495,-5.343385459703495,0.0,0.0,0.0,0.5064882673903359,0.5064882673903359,0.5064882673903359,16.892575840102534
5,1987-10-15,22.36469949098245,22.36469949098245,22.36469949098245,-0.16028300752146837,32.66388416913514,-0.058772583097510954,-0.058772583097510954,-0.058772583097510954,-6.614506769199162,-6.614506769199162,-6.614506769199162,-6.630669444606389,-6.630669444606389,-6.630669444606389,0.0,0.0,0.0,0.042609907690283055,0.042609907690283055,0.042609907690283055,15.73403004637606
6,1987-11-15,22.497728955198085,22.497728955198085,22.497728955198085,-0.052685748164900126,32.727955526034776,0.5473935669164133,0.5473935669164133,0.5473935669164133,-4.9629097162490305,-4.9629097162490305,-4.9629097162490305,-5.428921975877269,-5.428921975877269,-5.428921975877269,0.0,0.0,0.0,-1.0134058265446535,-1.0134058265446535,-1.0134058265446535,17.068806979320815
7,1987-12-15,22.626467146374505,22.6264671463745,22.6264671463745,-2.035836603236591,31.994457360438105,0.6915401001922794,0.6915401001922794,0.6915401001922794,-6.614506769199709,-6.614506769199709,-6.614506769199709,-7.287136009647422,-7.287136009647422,-7.287136009647422,0.0,0.0,0.0,-1.3641693406399926,-1.3641693406399926,-1.3641693406399926,15.339331136727083
8,1988-01-15,22.75949661059014,22.75949661059014,22.75949661059014,-0.3985447504678463,34.29473789349429,0.6002464258864124,0.6002464258864124,0.6002464258864124,-4.962909716252209,-4.962909716252209,-4.962909716252209,-5.390298824668423,-5.390298824668423,-5.390298824668423,0.0,0.0,0.0,-1.0276355343026256,-1.0276355343026256,-1.0276355343026256,17.369197785921717
9,1988-02-15,22.892526074805776,22.892526074805776,22.892526074805776,3.8575492236181126,36.85071807868372,0.6962093457090877,0.6962093457090877,0.6962093457090877,-2.644816095377862,-2.644816095377862,-2.644816095377862,-2.560319778675876,-2.560319778675876,-2.560319778675876,0.0,0.0,0.0,-0.6117130290071011,-0.6117130290071011,-0.6117130290071011,20.3322062961299
10,1988-03-15,23.016972992942982,23.016972992942982,23.016972992942982,-0.2126985876148247,34.45787387364193,1.1884246811082202,1.1884246811082202,1.1884246811082202,-7.582683241435699,-7.582683241435699,-7.582683241435699,-5.931779450270439,-5.931779450270439,-5.931779450270439,0.0,0.0,0.0,0.46247911005704057,0.46247911005704057,0.46247911005704057,17.085193542672542
11,1988-04-15,23.150002457158617,23.150002457158617,23.150002457158617,2.5521578066184816,35.60058413752429,2.0472581730224673,2.0472581730224673,2.0472581730224673,-6.6145067691999015,-6.6145067691999015,-6.6145067691999015,-3.7042802147674707,-3.7042802147674707,-3.7042802147674707,0.0,0.0,0.0,0.8629683814099635,0.8629683814099635,0.8629683814099635,19.445722242391145
12,1988-05-15,23.278740648335038,23.278740648335038,23.278740648335038,1.9520727933337492,35.86988592193542,2.897215070091693,2.897215070091693,2.897215070091693,-7.58268324143604,-7.58268324143604,-7.58268324143604,-3.9156662248832554,-3.9156662248832554,-3.9156662248832554,0.0,0.0,0.0,0.7698019464610916,0.7698019464610916,0.7698019464610916,19.36307442345178
