,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,2 years,2 years_lower,2 years_upper,Monthly,Monthly_lower,Monthly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,yhat
0,1986-01-15,23.457652578049174,23.457652578049174,23.457652578049174,6.704685704836863,35.20476615755656,0.6878068875498204,0.6878068875498204,0.6878068875498204,-2.380720212470786,-2.380720212470786,-2.380720212470786,-2.071062110330443,-2.071062110330443,-2.071062110330443,0.0,0.0,0.0,-0.3781487854094776,-0.3781487854094776,-0.3781487854094776,21.386590467718733
1,1986-02-15,23.558845416871407,23.558845416871407,23.558845416871407,8.552600333023918,37.93375354144294,0.4871249702459339,0.4871249702459339,0.4871249702459339,-0.8184803708247778,-0.8184803708247778,-0.8184803708247778,-0.6249738084497243,-0.6249738084497243,-0.6249738084497243,0.0,0.0,0.0,-0.2936184078708804,-0.2936184078708804,-0.2936184078708804,22.933871608421683
2,1986-03-15,23.650245400323744,23.650245400323744,23.650245400323744,3.669614500716347,34.74294261429807,0.8021480507354556,0.8021480507354556,0.8021480507354556,-8.272357297022445,-8.272357297022445,-8.272357297022445,-6.51205270708307,-6.51205270708307,-6.51205270708307,0.0,0.0,0.0,0.9581565392039205,0.9581565392039205,0.9581565392039205,17.138192693240676
3,1986-04-15,23.751438239145976,23.751438239145976,23.751438239145976,4.241740290902358,33.86316994578336,1.7204091157628023,1.7204091157628023,1.7204091157628023,-7.235841001198725,-7.235841001198725,-7.235841001198725,-4.180358593901984,-4.180358593901984,-4.180358593901984,0.0,0.0,0.0,1.335073291533939,1.335073291533939,1.335073291533939,19.57107964524399
4,1986-05-15,23.84936679284491,23.84936679284491,23.84936679284491,4.241221570615136,33.663362416652,2.807256937781797,2.807256937781797,2.807256937781797,-8.272357297022788,-8.272357297022788,-8.272357297022788,-4.775969893627152,-4.775969893627152,-4.775969893627152,0.0,0.0,0.0,0.6891304656138404,0.6891304656138404,0.6891304656138404,19.07339689921776
5,1986-06-15,23.950559631667144,23.950559631667144,23.950559631667144,5.177805735821225,34.532062460511455,3.6596907652629374,3.6596907652629374,3.6596907652629374,-7.235841001201293,-7.235841001201293,-7.235841001201293,-3.384517033099538,-3.384517033099538,-3.384517033099538,0.0,0.0,0.0,0.19163320283881685,0.19163320283881685,0.19163320283881685,20.566042598567606
6,1986-07-15,24.048488185366075,24.048488185366075,24.048488185366075,5.536467888939717,36.8751695799407,3.980806471190084,3.980806471190084,3.980806471190084,-8.272357297022774,-8.272357297022774,-8.272357297022774,-3.7712536599417965,-3.7712536599417965,-3.7712536599417965,0.0,0.0,0.0,0.5202971658908941,0.5202971658908941,0.5202971658908941,20.27723452542428
7,1986-08-15,24.14968102418831,24.14968102418831,24.14968102418831,5.885583120491166,35.75908060520531,3.773052476308763,3.773052476308763,3.773052476308763,-7.235841001201814,-7.235841001201814,-7.235841001201814,-3.239838033100695,-3.239838033100695,-3.239838033100695,0.0,0.0,0.0,0.2229504917923567,0.2229504917923567,0.2229504917923567,20.909842991087615
8,1986-09-15,24.25087386301054,24.25087386301054,24.25087386301054,6.449845852729511,36.95001840069921,3.0311452933552667,3.0311452933552667,3.0311452933552667,-5.809999798324511,-5.809999798324511,-5.809999798324511,-2.644229331222314,-2.644229331222314,-2.644229331222314,0.0,0.0,0.0,0.1346251737469292,0.1346251737469292,0.1346251737469292,21.606644531788227
9,1986-10-15,24.34880241670947,24.34880241670947,24.34880241670947,3.4633537714373404,33.04322525060847,1.747759887284225,1.747759887284225,1.747759887284225,-7.235841001197092,-7.235841001197092,-7.235841001197092,-5.877863097428119,-5.877863097428119,-5.877863097428119,0.0,0.0,0.0,-0.3897819835152529,-0.3897819835152529,-0.3897819835152529,18.470939319281353
10,1986-11-15,24.449995255531707,24.449995255531707,24.449995255531707,1.562760524821789,31.13025892570201,-0.13815833775438208,-0.13815833775438208,-0.13815833775438208,-5.8099997983251725,-5.8099997983251725,-5.8099997983251725,-7.176328986648279,-7.176328986648279,-7.176328986648279,0.0,0.0,0.0,-1.228170850568724,-1.228170850568724,-1.228170850568724,17.273666268883428
11,1986-12-15,24.54792380923064,24.54792380923064,24.54792380923064,-2.1600361664449332,29.004368821357243,-2.1735741021852,-2.1735741021852,-2.1735741021852,-7.235841001197615,-7.235841001197615,-7.235841001197615,-11.063143238504935,-11.063143238504935,-11.063143238504935,0.0,0.0,0.0,-1.653728135122123,-1.653728135122123,-1.653728135122123,13.484780570725704
12,1987-01-15,24.64911664805287,24.64911664805287,24.64911664805287,0.3990765674230798,30.153422220341778,-3.836931791533611,-3.836931791533611,-3.836931791533611,-5.809999798329026,-5.809999798329026,-5.809999798329026,-10.04393543939044,-10.04393543939044,-10.04393543939044,0.0,0.0,0.0,-0.39700384952779977,-0.39700384952779977,-0.39700384952779977,14.605181208662431
13,1987-02-15,24.750309486875103,24.750309486875103,24.750309486875103,0.5628963669738749,30.105719005408275,-4.447143807207133,-4.447143807207133,-4.447143807207133,-4.124848854765773,-4.124848854765773,-4.124848854765773,-8.876054434036277,-8.876054434036277,-8.876054434036277,0.0,0.0,0.0,-0.3040617720633701,-0.3040617720633701,-0.3040617720633701,15.874255052838826
14,1987-03-15,24.841922714487747,24.84192271448775,24.84192271448775,-1.9615867203883237,27.43081720079091,-4.0116850205370715,-4.0116850205370715,-4.0116850205370715,-9.088768375522077,-9.088768375522077,-9.088768375522077,-12.147237834185848,-12.147237834185848,-12.147237834185848,0.0,0.0,0.0,0.9532155618733006,0.9532155618733006,0.9532155618733006,12.6946848803019
15,1987-04-15,24.943351645058897,24.943351645058897,24.943351645058897,-0.16349162580581936,29.99227921357621,-2.9312537260645315,-2.9312537260645315,-2.9312537260645315,-8.875751981869547,-8.875751981869547,-8.875751981869547,-10.464250624773586,-10.464250624773586,-10.464250624773586,0.0,0.0,0.0,1.3427550831604933,1.3427550831604933,1.3427550831604933,14.479101020285311
16,1987-05-15,25.04150867464387,25.04150867464387,25.04150867464387,-0.8418752223517849,29.678641378954858,-2.0026548733487486,-2.0026548733487486,-2.0026548733487486,-9.088768375522099,-9.088768375522099,-9.088768375522099,-10.411469866723897,-10.411469866723897,-10.411469866723897,0.0,0.0,0.0,0.6799533821469499,0.6799533821469499,0.6799533821469499,14.630038807919975
17,1987-06-15,25.142937605215018,25.142937605215018,25.142937605215018,-0.19190760582271074,30.93176843956879,-1.6033633934156954,-1.6033633934156954,-1.6033633934156954,-8.875751981872343,-8.875751981872343,-8.875751981872343,-10.284275054521965,-10.284275054521965,-10.284275054521965,0.0,0.0,0.0,0.19484032076607138,0.19484032076607138,0.19484032076607138,14.858662550693053
18,1987-07-15,25.241094634799996,25.241094634799996,25.241094634799996,0.6201961408911943,30.987016219310537,-1.5926764703332503,-1.5926764703332503,-1.5926764703332503,-9.088768375524321,-9.088768375524321,-9.088768375524321,-10.141577987165167,-10.141577987165167,-10.141577987165167,0.0,0.0,0.0,0.5398668586924036,0.5398668586924036,0.5398668586924036,15.099516647634829
19,1987-08-15,25.34252356537114,25.34252356537114,25.34252356537114,0.04347406836061299,29.630474436663274,-1.4343238448772573,-1.4343238448772573,-1.4343238448772573,-8.875751981870174,-8.875751981870174,-8.875751981870174,-10.093688399826727,-10.093688399826727,-10.093688399826727,0.0,0.0,0.0,0.21638742692070406,0.21638742692070406,0.21638742692070406,15.248835165544412
20,1987-09-15,25.44395249594228,25.44395249594228,25.44395249594228,0.4423798787972111,31.448803118752753,-0.7785233865943164,-0.7785233865943164,-0.7785233865943164,-8.272357297022273,-8.272357297022273,-8.272357297022273,-8.92195311394457,-8.92195311394457,-8.92195311394457,0.0,0.0,0.0,0.1289275696720219,0.1289275696720219,0.1289275696720219,16.52199938199771
21,1987-10-15,25.54210952552726,25.54210952552726,25.54210952552726,1.48667688945307,31.58806128226362,0.14847320846218526,0.14847320846218526,0.14847320846218526,-8.875751981870339,-8.875751981870339,-8.875751981870339,-9.123823287777721,-9.123823287777721,-9.123823287777721,0.0,0.0,0.0,-0.3965445143695655,-0.3965445143695655,-0.3965445143695655,16.418286237749538
22,1987-11-15,25.643538456098405,25.643538456098405,25.643538456098405,2.5924487266237035,33.21756613424555,0.8731462790543897,0.8731462790543897,0.8731462790543897,-8.272357297019713,-8.272357297019713,-8.272357297019713,-8.607488794888726,-8.607488794888726,-8.607488794888726,0.0,0.0,0.0,-1.2082777769233992,-1.2082777769233992,-1.2082777769233992,17.03604966120968
23,1987-12-15,25.741695485683383,25.741695485683383,25.741695485683383,1.4646285698162211,31.65349854609457,0.9982728193071967,0.9982728193071967,0.9982728193071967,-8.875751981870502,-8.875751981870502,-8.875751981870502,-9.520582221097735,-9.520582221097735,-9.520582221097735,0.0,0.0,0.0,-1.6431030585344268,-1.6431030585344268,-1.6431030585344268,16.221113264585647
24,1988-01-15,25.843124416254525,25.843124416254525,25.843124416254525,2.4129627470480965,33.16341030725141,0.6878068875498345,0.6878068875498345,0.6878068875498345,-8.272357297022602,-8.272357297022602,-8.272357297022602,-8.000924321438612,-8.000924321438612,-8.000924321438612,0.0,0.0,0.0,-0.4163739119658454,-0.4163739119658454,-0.4163739119658454,17.842200094815915
25,1988-02-15,25.94455334682567,25.94455334682567,25.94455334682567,3.667652453185022,33.64080863438725,0.4871249702459237,0.4871249702459237,0.4871249702459237,-7.235841001203311,-7.235841001203311,-7.235841001203311,-7.062889418936545,-7.062889418936545,-7.062889418936545,0.0,0.0,0.0,-0.31417338797915795,-0.31417338797915795,-0.31417338797915795,18.881663927889125
26,1988-03-15,26.039438475424483,26.039438475424483,26.039438475424483,4.198121125370116,33.587477146264916,0.8236121909604392,0.8236121909604392,0.8236121909604392,-9.088768375524406,-9.088768375524406,-9.088768375524406,-7.297182888125364,-7.297182888125364,-7.297182888125364,0.0,0.0,0.0,0.9679732964386019,0.9679732964386019,0.9679732964386019,18.74225558729912
