,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2002-05-09,24.469700988527837,24.469700988527837,24.469700988527837,12.222142964908436,39.751164523232106,1.8902286367209977,1.8902286367209977,1.8902286367209977,0.0,0.0,0.0,-0.06736297580268578,-0.06736297580268578,-0.06736297580268578,1.9575916125236836,1.9575916125236836,1.9575916125236836,26.359929625248835
1,2002-05-10,24.481075037417238,24.481075037417238,24.481075037417238,12.87962316698362,40.46729127004534,1.6827367579655417,1.6827367579655417,1.6827367579655417,0.0,0.0,0.0,-0.2562708427239694,-0.2562708427239694,-0.2562708427239694,1.9390076006895112,1.9390076006895112,1.9390076006895112,26.16381179538278
2,2002-05-13,24.51519718408543,24.51519718408543,24.51519718408543,12.152471549488071,39.79195405619039,1.6704588536439375,1.6704588536439375,1.6704588536439375,0.0,0.0,0.0,-0.22819867812906372,-0.22819867812906372,-0.22819867812906372,1.8986575317730012,1.8986575317730012,1.8986575317730012,26.185656037729366
3,2002-05-14,24.526571232974828,24.526571232974828,24.526571232974828,12.761477514444607,40.68926249048339,1.6198091875994087,1.6198091875994087,1.6198091875994087,0.0,0.0,0.0,-0.2702779608304597,-0.2702779608304597,-0.2702779608304597,1.8900871484298685,1.8900871484298685,1.8900871484298685,26.146380420574236
4,2002-05-15,24.537945281864232,24.537945281864232,24.537945281864232,11.803972714127578,39.26988431508176,1.6371733743948615,1.6371733743948615,1.6371733743948615,0.0,0.0,0.0,-0.24648431001411006,-0.24648431001411006,-0.24648431001411006,1.8836576844089716,1.8836576844089716,1.8836576844089716,26.175118656259095
5,2002-05-16,24.54931933075363,24.54931933075363,24.54931933075363,12.320765094437625,41.14319615442316,1.8117399182218805,1.8117399182218805,1.8117399182218805,0.0,0.0,0.0,-0.06736297580277481,-0.06736297580277481,-0.06736297580277481,1.8791028940246552,1.8791028940246552,1.8791028940246552,26.36105924897551
6,2002-05-17,24.560693379643027,24.560693379643027,24.560693379643027,12.336465427569102,39.32144960596959,1.6198403081462864,1.6198403081462864,1.6198403081462864,0.0,0.0,0.0,-0.25627084272382705,-0.25627084272382705,-0.25627084272382705,1.8761111508701134,1.8761111508701134,1.8761111508701134,26.180533687789314
7,2002-05-20,24.594815526311223,24.594815526311223,24.594815526311223,12.818750075420887,39.899446226300306,1.64472844436782,1.64472844436782,1.64472844436782,0.0,0.0,0.0,-0.2281986781284488,-0.2281986781284488,-0.2281986781284488,1.872927122496269,1.872927122496269,1.872927122496269,26.239543970679044
8,2002-05-21,24.60618957520062,24.60618957520062,24.60618957520062,13.516757079892924,40.72195378056219,1.6022379726230023,1.6022379726230023,1.6022379726230023,0.0,0.0,0.0,-0.2702779608305715,-0.2702779608305715,-0.2702779608305715,1.872515933453574,1.872515933453574,1.872515933453574,26.20842754782362
9,2002-05-22,24.617563624090018,24.617563624090018,24.617563624090018,12.832768725741879,39.5236107928638,1.6252991971477335,1.6252991971477335,1.6252991971477335,0.0,0.0,0.0,-0.24648431001405804,-0.24648431001405804,-0.24648431001405804,1.8717835071617912,1.8717835071617912,1.8717835071617912,26.24286282123775
10,2002-05-23,24.628937672979415,24.628937672979415,24.628937672979415,12.877619403052972,40.02350588743216,1.802996208381954,1.802996208381954,1.802996208381954,0.0,0.0,0.0,-0.06736297580297826,-0.06736297580297826,-0.06736297580297826,1.870359184184932,1.870359184184932,1.870359184184932,26.43193388136137
11,2002-05-24,24.640311721868812,24.640311721868812,24.640311721868812,12.62553774135192,39.503018803067434,1.6116257896690402,1.6116257896690402,1.6116257896690402,0.0,0.0,0.0,-0.2562708427233641,-0.2562708427233641,-0.2562708427233641,1.8678966323924044,1.8678966323924044,1.8678966323924044,26.251937511537854
12,2002-05-27,24.67443386853701,24.67443386853701,24.67443386853701,12.731415968396357,39.92397921289904,1.6231489310410132,1.6231489310410132,1.6231489310410132,0.0,0.0,0.0,-0.2281986781291305,-0.2281986781291305,-0.2281986781291305,1.8513476091701437,1.8513476091701437,1.8513476091701437,26.297582799578024
13,2002-05-28,24.68580791742641,24.68580791742641,24.68580791742641,13.361112705426832,39.38927373861672,1.5717456931630793,1.5717456931630793,1.5717456931630793,0.0,0.0,0.0,-0.27027796083027866,-0.27027796083027866,-0.27027796083027866,1.842023653993358,1.842023653993358,1.842023653993358,26.25755361058949
14,2002-05-29,24.697181966315807,24.697181966315807,24.697181966315807,12.83690366775045,39.7039419066895,1.5840645576791903,1.5840645576791903,1.5840645576791903,0.0,0.0,0.0,-0.246484310014006,-0.246484310014006,-0.246484310014006,1.8305488676931965,1.8305488676931965,1.8305488676931965,26.281246523994998
15,2002-05-30,24.708556015205208,24.70855601520521,24.70855601520521,12.644069641464103,40.09423317074951,1.7494976301715857,1.7494976301715857,1.7494976301715857,0.0,0.0,0.0,-0.06736297580306728,-0.06736297580306728,-0.06736297580306728,1.8168606059746528,1.8168606059746528,1.8168606059746528,26.458053645376793
16,2002-05-31,24.719930064094605,24.719930064094605,24.719930064094605,12.11609834562006,40.32590732716314,1.5446852927288741,1.5446852927288741,1.5446852927288741,0.0,0.0,0.0,-0.2562708427240946,-0.2562708427240946,-0.2562708427240946,1.8009561354529688,1.8009561354529688,1.8009561354529688,26.26461535682348
17,2002-06-05,24.7768003085416,24.7768003085416,24.7768003085416,10.348532034217762,40.31173500814805,1.4457669363344106,1.4457669363344106,1.4457669363344106,0.0,0.0,0.0,-0.24648431001412624,-0.24648431001412624,-0.24648431001412624,1.6922512463485366,1.6922512463485366,1.6922512463485366,26.22256724487601
18,2002-06-06,24.788174357430997,24.788174357430997,24.788174357430997,12.199054411607595,40.35243199403818,1.5989009471216609,1.5989009471216609,1.5989009471216609,0.0,0.0,0.0,-0.06736297580285394,-0.06736297580285394,-0.06736297580285394,1.6662639229245146,1.6662639229245146,1.6662639229245146,26.387075304552656
19,2002-06-07,24.799548406320394,24.799548406320394,24.799548406320394,11.993755592938035,40.08288640281618,1.383348318524914,1.383348318524914,1.383348318524914,0.0,0.0,0.0,-0.25627084272363165,-0.25627084272363165,-0.25627084272363165,1.6396191612485458,1.6396191612485458,1.6396191612485458,26.182896724845307
20,2002-06-10,24.83367055298859,24.83367055298859,24.83367055298859,12.539694992303138,39.02076714652324,1.3317171897479323,1.3317171897479323,1.3317171897479323,0.0,0.0,0.0,-0.2281986781300309,-0.2281986781300309,-0.2281986781300309,1.5599158678779634,1.5599158678779634,1.5599158678779634,26.16538774273652
21,2002-06-11,24.845044601877987,24.845044601877987,24.845044601877987,12.05202172174139,40.051978111059256,1.2646520862109945,1.2646520862109945,1.2646520862109945,0.0,0.0,0.0,-0.27027796083082284,-0.27027796083082284,-0.27027796083082284,1.5349300470418172,1.5349300470418172,1.5349300470418172,26.10969668808898
22,2002-06-12,24.856418650767385,24.856418650767385,24.856418650767385,13.024067895997574,38.22836785451417,1.2650340239650881,1.2650340239650881,1.2650340239650881,0.0,0.0,0.0,-0.24648431001407423,-0.24648431001407423,-0.24648431001407423,1.5115183339791625,1.5115183339791625,1.5115183339791625,26.121452674732474
23,2002-06-13,24.867792699656786,24.867792699656786,24.867792699656786,13.55720863214374,40.53916748656422,1.4227899430571234,1.4227899430571234,1.4227899430571234,0.0,0.0,0.0,-0.0673629758030574,-0.0673629758030574,-0.0673629758030574,1.4901529188601808,1.4901529188601808,1.4901529188601808,26.290582642713908
24,2002-06-14,24.879166748546186,24.879166748546186,24.879166748546186,12.236201813415454,40.679450070118925,1.2150258455912526,1.2150258455912526,1.2150258455912526,0.0,0.0,0.0,-0.25627084272316875,-0.25627084272316875,-0.25627084272316875,1.4712966883144212,1.4712966883144212,1.4712966883144212,26.09419259413744
25,2002-06-17,24.91328889521438,24.91328889521438,24.91328889521438,11.884470254620245,39.2071162804544,1.2059145780989748,1.2059145780989748,1.2059145780989748,0.0,0.0,0.0,-0.2281986781289528,-0.2281986781289528,-0.2281986781289528,1.4341132562279275,1.4341132562279275,1.4341132562279275,26.119203473313355
26,2002-06-18,24.92466294410378,24.92466294410378,24.92466294410378,12.783867543368736,40.33061575653931,1.159195670211615,1.159195670211615,1.159195670211615,0.0,0.0,0.0,-0.2702779608308504,-0.2702779608308504,-0.2702779608308504,1.4294736310424654,1.4294736310424654,1.4294736310424654,26.083858614315396
27,2002-06-19,24.936036992993177,24.936036992993177,24.936036992993177,12.240672935238669,40.13251631969519,1.1827748756639171,1.1827748756639171,1.1827748756639171,0.0,0.0,0.0,-0.24648431001390794,-0.24648431001390794,-0.24648431001390794,1.429259185677825,1.429259185677825,1.429259185677825,26.118811868657094
28,2002-06-20,24.947411041882575,24.947411041882575,24.947411041882575,12.568281523677914,38.68523330752028,1.3663634462813528,1.3663634462813528,1.3663634462813528,0.0,0.0,0.0,-0.067362975803032,-0.067362975803032,-0.067362975803032,1.4337264220843846,1.4337264220843846,1.4337264220843846,26.313774488163926
29,2002-06-21,24.958785090771972,24.958785090771972,24.958785090771972,12.814509197439614,39.73052133408698,1.1868053791457767,1.1868053791457767,1.1868053791457767,0.0,0.0,0.0,-0.2562708427230263,-0.2562708427230263,-0.2562708427230263,1.443076221868803,1.443076221868803,1.443076221868803,26.14559046991775
30,2002-06-24,24.992907237440168,24.992907237440168,24.992907237440168,11.719481108892266,40.695938754972445,1.273307681834002,1.273307681834002,1.273307681834002,0.0,0.0,0.0,-0.22819867812963454,-0.22819867812963454,-0.22819867812963454,1.5015063599636365,1.5015063599636365,1.5015063599636365,26.26621491927417
31,2002-06-25,25.00428128632957,25.00428128632957,25.00428128632957,12.812720480357191,40.12139998485581,1.260863458899131,1.260863458899131,1.260863458899131,0.0,0.0,0.0,-0.2702779608305575,-0.2702779608305575,-0.2702779608305575,1.5311414197296884,1.5311414197296884,1.5311414197296884,26.2651447452287
32,2002-06-26,25.015655335218966,25.015655335218966,25.015655335218966,13.103708670191532,40.1398834279108,1.3192145170399308,1.3192145170399308,1.3192145170399308,0.0,0.0,0.0,-0.2464843100138559,-0.2464843100138559,-0.2464843100138559,1.5656988270537866,1.5656988270537866,1.5656988270537866,26.334869852258898
